Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
9	Leiðbeininga-	kt	ób-sk	leiðbeiningaþjónusta	Leiðbeininga-
9	kvörtunar-	kt	ób-sk	kvörtunarnefnd	kvörtunar-
9	eigið	lhensf	lo-hk-et-nf-sb-fst	eiginn	eigin
9	annan	lkeosf	lo-kk-et-þf-sb-fst	annur	annar
9	Helst	aae	ao-est	heldur	gjarnan
9	iðnaðar-	kt	ób-sk	iðnaðarráðuneyti	iðnaðar-
9	Vísinda-	kt	ób-sk	vísindaráð	Vísinda-
9	þús	ks	ób-sk	þús.	þús
9	neðst	aae	ao-est	neðar	niðri
9	bls	ks	ób-sk	bls.	bls
9	Eyjum	nvfþ-s	no-kvk-ft-þgf-s	Eyja	Eyjar
9	Ríkisútvarpið	nheogs	no-hk-et-þf-gr-s	Ríkisútvarp	Ríkisútvarpið
9	S2	x	ób-x	s2	S2
9	Mánud	ks	ób-sk	Mánud.	Mánud
8	laugard	ks	ób-sk	laugard.	laugard
8	FEB	n----s	no-x-s	FEB.	FEB
8	beðin	sþgven	so-lhþt-gm-kvk-et-nf	biðja	bíða
8	Hólum	nkfþ-s	no-kk-ft-þgf-s	Hóll	Hólar
8	mín	ks	ób-sk	mín.	mín
8	d	ks	ób-sk	d.	d
8	vörunum	nvfþg	no-kvk-ft-þgf-gr	vör	vara
8	fasteigna	nvfe	no-kvk-ft-ef	fasteignir	fasteign
8	A	e	ób-e	a	A
8	Bandaríkin	nhfngs	no-hk-ft-nf-gr-s	Bandaríki	Bandaríkin
8	miðöldum	nvfþ	no-kvk-ft-þgf	miðöld	miðaldir
8	fæddir	sþgkfn	so-lhþt-gm-kk-ft-nf	fæddur	fæða
8	eitt	ta	to	eitt	einn
8	kanski	aa	ao	kannski	kanski
8	önnur	lvensf	lo-kvk-et-nf-sb-fst	önnur	annar
8	BlackBerry	n----s	no-x-s	BlackBerry	Blackberry
8	hundruð	to	to	hundrað	hundruð
8	Kirkjugarðar	nkfn-s	no-kk-ft-nf-s	Kirkjugarður	Kirkjugarðar
8	aftast	aae	ao-est	aftur	aftar
8	IV	ta	to	IV	iv
8	Slysavarnafélagið	nhengs	no-hk-et-nf-gr-s	Slysavarnafélag	Slysavarnafélagið
8	Ströndum	nvfþ-s	no-kvk-ft-þgf-s	Strönd	Strandir
8	Þykkva-lúra	nven	no-kvk-et-nf	þykkva-lúra	Þykkva-lúra
8	Z	nken-s	no-kk-et-nf-s	z	Z
8	Vegagerðinni	nveþgs	no-kvk-et-þgf-gr-s	Vegagerð	Vegagerðin
7	rekur	sfg3en	so-fh-gm-3p-et-nt	rekja	reka
7	iTunes	n----s	no-x-s	iTunes	Itunes
7	nk	ks	ób-sk	nk.	nk
7	E	n----s	no-x-s	E.	E
7	systkinin	nhfng	no-hk-ft-nf-gr	systkin	systkini
7	30	ta	to	30.	30
7	leiðbeininga-	kt	ób-sk	leiðbeiningaþjónusta	leiðbeininga-
7	de	n----s	no-x-s	de	De
7	neðar	aam	ao-mst	neðar	niðri
7	iðnaðar-	kt	ób-sk	iðnaðarráðherra	iðnaðar-
7	systkinum	nhfþ	no-hk-ft-þgf	systkin	systkini
7	V	x	ób-x	v	V
7	Nær	aam	ao-mst	nær	narri
7	dóms-	kt	ób-sk	dómsmálaráðuneyti	dóms-
7	Landhelgisgæslunnar	nveegs	no-kvk-et-ef-gr-s	Landhelgisgæsla	Landhelgisgæslan
7	Þjóðleikhússins	nheegs	no-hk-et-ef-gr-s	Þjóðleikhús	Þjóðleikhúsið
7	Dr	ks	ób-sk	Dr.	Dr
7	vörum	nvfþ	no-kvk-ft-þgf	vör	vara
7	thorvaldsen	n-eþ	no-x	Thorvaldsen	thorvaldsen
7	Þjóðleikhúsinu	nheþgs	no-hk-et-þgf-gr-s	Þjóðleikhús	Þjóðleikhúsið
7	fjögur	ta	to	fjögur	fjórir
7	sendist	svm3fn	so-vh-mm-3p-ft-nt	senda	sendast
7	McDonalds	n----s	no-x-s	McDonalds	Mcdonalds
7	Félagsmiðstöðinni	nveþgs	no-kvk-et-þgf-gr-s	Félagsmiðstöð	Félagsmiðstöðin
7	viðvart	lheosf	lo-hk-et-þf-sb-fst	viðvart	viðvar
7	C++	x	ób-x	c++	C++
7	POSIX	n----s	no-x-s	POSIX	Posix
7	Slysavarnafélagsins	nheegs	no-hk-et-ef-gr-s	Slysavarnafélag	Slysavarnafélagið
7	Mr.	ks	ób-sk	mr.	Mr.
7	Viðbúnaðarstjórnarinnar	nveegs	no-kvk-et-ef-gr-s	Viðbúnaðarstjórnin	Viðbúnaðarstjórn
7	ISIO4	x	ób-x	isio4	ISIO4
7	McDonagh	n----s	no-x-s	McDonagh	Mcdonagh
7	ragnar	nken	no-kk-et-nf	Ragnar	ragnar
7	thad	x	ób-x	það	thad
7	peaches	n----s	no-x-s	peaches	Peaches
6	okt	ks	ób-sk	okt.	okt
6	Verslóritgerðir	nvfn-s	no-kvk-ft-nf-s	Verslóritgerðir	Verslóritgerð
6	forvitnast	snm	so-nh-mm	forvitna	forvitnast
6	réttara	aam	ao-mst	réttur	réttt
6	þroskahamlana	nvfe	no-kvk-ft-ef	þroskahamall	þroskahömlun
6	heilbrigðis-	kt	ób-sk	heilbrigðisráðuneyti	heilbrigðis-
6	jeeeeeeeeee	au	ób-uh	jee	jeeeeeeeeee
6	klökkan	nveng	no-kvk-et-nf-gr	klukka	klökka
6	:)	pa	ób-gm	)	:)
6	versta	lhenve	lo-hk-et-nf-vb-est	verri	slæmur
6	m	ks	ób-sk	m.	m
6	klst	ks	ób-sk	klst.	klst
6	eitt	to	to	eitt	einn
6	dr	ks	ób-sk	dr.	dr
6	Bridsfélags	nhee-s	no-hk-et-ef-s	bridsfélag	Bridsfélag
6	B	n----s	no-x-s	B.	B
6	Fjármálaeftirlitinu	nheþgs	no-hk-et-þgf-gr-s	Fjármálaeftirlit	Fjármálaeftirlitið
6	A	nhen	no-hk-et-nf	A	a
6	fólgið	sþghen	so-lhþt-gm-hk-et-nf	fela	fólga
6	Sumar-	kt	ób-sk	sumardekk	Sumar-
6	Áhv.	kt	ób-sk	áhv.	Áhv.
6	29	ta	to	29.	29
6	meira	lkeþvm	lo-kk-et-þgf-vb-mst	mikill	meira
6	þrjú	ta	to	þrjú	þrír
6	viðjum	nvfþ	no-kvk-ft-þgf	viðjar	viðja
6	23	ta	to	23.	23
6	millj	ks	ób-sk	millj.	millj
6	Blaðinu	nheþgs	no-hk-et-þgf-gr-s	Blað	Blaðið
6	hugum	nkfþ	no-kk-ft-þgf	hugi	hugur
6	fötunum	nhfþg	no-hk-ft-þgf-gr	fat	föt
6	Bls.	ks	ób-sk	bls.	Bls.
6	Tekk	nhen-s	no-hk-et-nf-s	tekk	Tekk
6	logra	nkfo	no-kk-ft-þf	logri	logur
6	Man	e	ób-e	man	Man
6	amk.	ks	ób-sk	a.m.k.	amk.
6	Kanski	aa	ao	kannski	kanski
6	Borginni	nveþgs	no-kvk-et-þgf-gr-s	Borg	Borgin
6	K	n----s	no-x-s	K.	K
6	Lengst	aae	ao-est	lengi	langt
6	tvö	to	to	tvö	tveir
6	fötin	nhfog	no-hk-ft-þf-gr	fat	föt
6	vötn	nhfo	no-hk-ft-þf	vötn	vatn
6	kjörin	sþgven	so-lhþt-gm-kvk-et-nf	kjósa	kjöra
6	Hótel	nheþ-s	no-hk-et-þgf-s	hótel	Hótel
6	S1	x	ób-x	s1	S1
6	C	x	ób-x	c	C
6	Hafnarhúsinu	nheþgs	no-hk-et-þgf-gr-s	Hafnarhúsið	Hafnarhús
6	stk	ks	ób-sk	stk.	stk
6	melrose	n----s	no-x-s	melrose	Melrose
6	Ö	nken-s	no-kk-et-nf-s	ö	Ö
6	Suður-	kt	ób-sk	Suðurland	Suður-
6	Evrópufélaginu	nheþgs	no-hk-et-þgf-gr-s	Evrópufélag	Evrópufélagið
6	miðvikud	ks	ób-sk	miðvikud.	miðvikud
6	hèrna	aa	ao	hérna	hèrna
6	brúða	nvfe	no-kvk-ft-ef	brúður	brúða
5	hefur	sfg3en	so-fh-gm-3p-et-nt	hefja	hafa
5	med	x	ób-x	með	med
5	thetta	x	ób-x	þetta	thetta
5	hmmmm	au	ób-uh	hmm	hmmmm
5	jeeeeeeee	au	ób-uh	jee	jeeeeeeee
5	calvin	n----s	no-x-s	calvin	Calvin
5	sindri	nken	no-kk-et-nf	Sindri	sindri
5	gæjinn	nkeng	no-kk-et-nf-gr	gæi	gæji
5	Blaðið	nhengs	no-hk-et-nf-gr-s	Blað	Blaðið
5	JÓN	nken-s	no-kk-et-nf-s	Jón	JÓN
5	DeLamater	n----s	no-x-s	DeLamater	Delamater
5	SIECUS	n----s	no-x-s	SIECUS	Siecus
5	22	ta	to	22.	22
5	Meira	aam	ao-mst	meira	mjög
5	McBain	n----s	no-x-s	McBain	Mcbain
5	sek	ks	ób-sk	sek.	sek
5	lausafjár-	kt	ób-sk	lausafjárkaup	lausafjár-
5	Vesturlanda	nhfe-s	no-hk-ft-ef-s	Vesturland	Vesturlönd
5	Kringlunni	nveþgs	no-kvk-et-þgf-gr-s	Kringla	Kringlan
5	Sturlunga	nkfe-s	no-kk-ft-ef-s	Sturlungur	Sturlungar
5	sagna	nvfe	no-kvk-ft-ef	saga	sögn
5	þjáningabóta	nvfe	no-kvk-ft-ef	þjáningabót	þjáningabætur
5	4ra	ta	to	4ra	4rir
5	skv	ks	ób-sk	skv.	skv
5	bezt	aae	ao-est	vel	bezt
5	starsýnt	lhensf	lo-hk-et-nf-sb-fst	starsýnn	starsýnt
5	toggi	nken	no-kk-et-nf	Toggi	toggi
5	aftar	aam	ao-mst	aftur	aftar
5	beðinn	sþgken	so-lhþt-gm-kk-et-nf	biðja	bíða
5	Guðm	n----s	no-x-s	Guðm.	Guðm
5	vegin	x	ób-x	vega	vegin
5	Öskjuhlíðinni	nveþgs	no-kvk-et-þgf-gr-s	Öskjuhlíðin	Öskjuhlíð
5	V.	ks	ób-sk	v.	V.
5	Viðskiptablaðinu	nheþgs	no-hk-et-þgf-gr-s	Viðskiptablað	Viðskiptablaðið
5	P	x	ób-x	p	P
5	þrjú	to	to	þrjú	þrír
5	Var	x	ób-x	vera	Var
5	Rafiðnaðarsambandsins	nheegs	no-hk-et-ef-gr-s	rafiðnaðarsamband	Rafiðnaðarsamband
5	A	n----s	no-x-s	a	A
5	Barnakór	nken-s	no-kk-et-nf-s	barnakór	Barnakór
5	hundruð	tfhfo	to	hundrað	hundruð
5	fletið	nheog	no-hk-et-þf-gr	fleti	flet
5	berst	sfm3en	so-fh-mm-3p-et-nt	berja	bera
5	Íslandsmynda	nvfe-s	no-kvk-ft-ef-s	íslandsmyndir	Íslandsmyndir
5	Man	n----s	no-x-s	man	Man
5	Hefst	sfm3en	so-fh-mm-3p-et-nt	hefja	hafa
5	McCains	n----s	no-x-s	McCains	Mccains
5	manuela	n----s	no-x-s	manuela	Manuela
5	óli	nken	no-kk-et-nf	Óli	óli
5	varði	sfg3eþ	so-fh-gm-3p-et-þt	verja	vara
5	öðrum	lkeþsf	lo-kk-et-þgf-sb-fst	öðr	annar
5	Hótel	nhee-s	no-hk-et-ef-s	hótel	Hótel
5	Sv-Bland	nhen	no-hk-et-nf	sv-bland	Sv-Bland
5	f.	x	ób-x	f	f.
5	íslenzku	nveþ	no-kvk-et-þgf	íslenska	íslenzka
5	Children-samtökin	nhfngs	no-hk-ft-nf-gr-s	Childrensamtök	Children-samtök
5	Bárunnar	nveegs	no-kvk-et-ef-gr-s	Bára	Báran
5	Búmanna	nkfe-s	no-kk-ft-ef-s	Búmaður	Búmenn
5	Bjallan	nvengs	no-kvk-et-nf-gr-s	Bjalla	Bjallan
5	póstnr	x	ób-x	póstnr.	póstnr
5	vaxtalaga	nhfe	no-hk-ft-ef	vaxtalag	vaxtalög
5	Kastljósinu	nheþgs	no-hk-et-þgf-gr-s	Kastljós	Kastljósið
5	ek	x	ób-x	aka	ek
5	Uppl	x	ób-x	uppl	Uppl
5	Ö	nkeo-s	no-kk-et-þf-s	ö	Öur
5	Blaðsins	nheegs	no-hk-et-ef-gr-s	Blað	Blaðið
5	èg	fp1en	fn-p-1p-et-nf	ég	èg
5	Miðvikud	ks	ób-sk	Miðvikud.	Miðvikud
5	RT	x	ób-x	rt	RT
4	Selinu	nheþgs	no-hk-et-þgf-gr-s	Sel	Selið
4	nóv	ks	ób-sk	nóv.	nóv
4	fimmtu-	kt	ób-sk	fimmtudagur	fimmtu-
4	fólgin	sþgven	so-lhþt-gm-kvk-et-nf	fela	fólga
4	McCartney	n----s	no-x-s	McCartney	Mccartney
4	ýmis	fokee	fn-ó-kk-et-ef	ýmis	ými
4	jeeeeeee	au	ób-uh	jee	jeeeeeee
4	brynjar	nken	no-kk-et-nf	Brynjar	brynjar
4	coldplay	n----s	no-x-s	coldplay	Coldplay
4	arnar	nken	no-kk-et-nf	Arnar	arnar
4	jonathan	n----s	no-x-s	jonathan	Jonathan
4	sigurjón	nken	no-kk-et-nf	Sigurjón	sigurjón
4	mætti	svg3eþ	so-vh-gm-3p-et-þt	mæta	mega
4	bezta	lvenve	lo-kvk-et-nf-vb-est	góður	bezta
4	ÞÓR	nken-s	no-kk-et-nf-s	Þór	ÞÓR
4	gerðar	nvee	no-kvk-et-ef	gerður	gerð
4	I	n----s	no-x-s	I.	I
4	sn	ks	ób-sk	sn.	sn
4	RX-8	x	ób-x	rx-8	RX-8
4	Rf6	x	ób-x	rf6	Rf6
4	F	n----s	no-x-s	F.	F
4	31	ta	to	31.	31
4	húsgagna	nhfe	no-hk-ft-ef	húsgögn	húsgagn
4	Kringlunni	nveþgs	no-kvk-et-þgf-gr-s	kringla	Kringlan
4	Alþingishúsið	nheogs	no-hk-et-þf-gr-s	Alþingishús	Alþingishúsið
4	sumar-	kt	ób-sk	sumardekk	sumar-
4	ATH	ks	ób-sk	ath.	ATH
4	flísalagnir	nvfn	no-kvk-ft-nf	flísalagnir	flísalögn
4	mán	x	ób-x	mán.	mán
4	Sama	fbkeo	fn-óá-kk-et-þf	samur	sami
4	íslenzkri	lveþsf	lo-kvk-et-þgf-sb-fst	íslenskur	íslenzkur
4	komizt	sþmhen	so-sagnb-mm	koma	komizt
4	gerzt	sþmhen	so-sagnb-mm	gera	gerzt
4	þessu	x	ób-x	þessi	þessu
4	fremur	afm	ao-mst	fremur	harla
4	fólginn	sþgken	so-lhþt-gm-kk-et-nf	fela	fólga
4	öðru	x	ób-x	annar	öðru
4	Blöndals	nkee-s	no-kk-et-ef-s	Blöndal	Blöndalur
4	L	n----s	no-x-s	L.	L
4	Kompási	nkeþ-s	no-kk-et-þgf-s	kompás	Kompás
4	vígi	nheþ	no-hk-et-þgf	víg	vígi
4	RANNÍS	n-ee-s	no-x-s	RANNÍS	Rannís
4	kveð	sfg1en	so-fh-gm-1p-et-nt	kveðja	kveða
4	28	ta	to	28.	28
4	umf	kt	ób-sk	umf.	umf
4	Faxaflóahafna	nvfe-s	no-kvk-ft-ef-s	Faxaflóahöfn	Faxaflóahafnir
4	Slökkviliðs-	kt	ób-sk	slökkviliðsmaður	Slökkviliðs-
4	Menningarnótt	nveþ-s	no-kvk-et-þgf-s	menningarnótt	Menningarnótt
4	öryggis-	kt	ób-sk	öryggismál	öryggis-
4	Evrópuþingsins	nheegs	no-hk-et-ef-gr-s	Evrópuþing	Evrópuþingið
4	tylor	n----s	no-x-s	tylor	Tylor
4	aðskilin	lhfnsf	lo-hk-ft-nf-sb-fst	aðskildur	aðskilinn
4	hundruð	tfkfn	to	hundrað	hundruð
4	Tekk	nhee-s	no-hk-et-ef-s	tekk	Tekk
4	fjögur	to	to	fjögur	fjórir
4	eru	x	ób-x	vera	eru
4	Sigur	nken-s	no-kk-et-nf-s	sigur	Sigur
4	sætt	sþghen	so-lhþt-gm-hk-et-nf	sætta	sæta
4	litlaheila	nkeþ	no-kk-et-þgf	litliheili	litlaheili
4	annað	lhensf	lo-hk-et-nf-sb-fst	annaður	annar
4	Kauphöllin	nvengs	no-kvk-et-nf-gr-s	Kauphöll	Kauphöllin
4	Nýsköpunarmiðstöð	nveþ-s	no-kvk-et-þgf-s	nýsköpunarmiðstöð	Nýsköpunarmiðstöð
4	sprota-	kt	ób-sk	sprotafyrirtæki	sprota-
4	Atvinnuþróunarfélag	nhen-s	no-hk-et-nf-s	atvinnuþróunarfélag	Atvinnuþróunarfélag
4	þurý	nven	no-kvk-et-nf	Þurý	þurý
4	lína	nven	no-kvk-et-nf	Lína	lína
4	Biblíufræðsla	nven-s	no-kvk-et-nf-s	biblíufræðsla	Biblíufræðsla
4	rue	n----s	no-x-s	rue	Rue
4	Innst	aae	ao-est	innar	inni
4	Brunavarna	nvfe-s	no-kvk-ft-ef-s	Brunavörn	Brunavarnir
4	Netið	nheogs	no-hk-et-þf-gr-s	net	Netið
4	krítar-	kt	ób-sk	krítartímabil	krítar-
4	A	nkeþ-s	no-kk-et-þgf-s	A	I
4	girðingar-	kt	ób-sk	girðingarlög	girðingar-
4	Títans	n-ee-s	no-x-s	Títan	Títans
4	Íslandsmyndir	nvfo-s	no-kvk-ft-þf-s	íslandsmyndir	Íslandsmyndir
4	Hafrannsóknastofnunin	nvengs	no-kvk-et-nf-gr-s	Hafrannsóknastofnunin	Hafrannsóknastofnun
4	Höllinni	nveþgs	no-kvk-et-þgf-gr-s	Höll	Höllin
4	Einsteins	nkee-s	no-kk-et-ef-s	Einstein	Einsteinn
4	EUROIII	n----s	no-x-s	EUROIII	Euroiii
4	M.a.	n----s	no-x-s	M.a.	M.A.
4	menningar-	kt	ób-sk	menningarráð	menningar-
4	Kirkjugarðasambandi	nheþ-s	no-hk-et-þgf-s	kirkjugarðasamband	Kirkjugarðasamband
4	sé	x	ób-x	vera	sé
4	Safnahúsið	nhengs	no-hk-et-nf-gr-s	Safnahús	Safnahúsið
4	Þjáningabætur	nvfn	no-kvk-ft-nf	þjáningabót	þjáningabætur
4	s	n----s	no-x-s	s	S
4	staðin	x	ób-x	staður	staðin
4	heyrnalausra	lkfesf	lo-kk-ft-ef-sb-fst	heyrnarlaus	heyrnalaus
4	helzt	aae	ao-est	heldur	helzt
4	FAXAMARKAÐUR	nken-s	no-kk-et-nf-s	faxamarkaður	Faxamarkaður
4	kjörnir	sþgkfn	so-lhþt-gm-kk-ft-nf	kjósa	kjöra
4	almannavarnalaga	nhfe	no-hk-ft-ef	almannavarnalög	almannavarnalag
4	E.	ks	ób-sk	e.	E.
4	Íhaldsins	nheegs	no-hk-et-ef-gr-s	Íhald	Íhaldið
4	Kringlunnar	nveegs	no-kvk-et-ef-gr-s	Kringla	Kringlan
